PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
31.200001,48.790001,16.549999,11.950000,1.180000,59.250000,-2.150000,-1.150000,294.100006,72.230003,82226.093750,26.81,101.43,48.790001,PM10,4685
32.820000,54.080002,19.750000,21.270000,1.340000,54.459999,-2.470000,-1.030000,293.440002,73.790001,81251.296875,26.82,101.59,52.040001,PM10,4686
33.299999,52.279999,17.049999,11.950000,1.250000,57.279999,-1.910000,-1.490000,293.440002,73.610001,81219.218750,26.82,101.74,51.139999,PM10,4687
33.220001,50.709999,16.290001,8.950000,1.230000,58.990002,-1.270000,-1.500000,294.049988,72.889999,82010.421875,26.82,101.89,50.355000,PM10,4688
33.340000,51.320000,15.210000,8.690000,1.270000,57.930000,-1.060000,-0.680000,293.750000,72.540001,81475.757812,26.83,102.04,50.660000,PM10,4689
33.919998,51.000000,13.810000,8.110000,1.150000,58.790001,-2.560000,1.330000,290.929993,77.589996,77408.882812,26.83,102.19,50.500000,PM10,4690
33.619999,49.240002,12.070000,7.040000,0.970000,62.810001,-4.410000,2.310000,288.829987,82.070000,74860.320312,26.84,102.34,49.240002,PM10,4691
34.279999,49.650002,10.890000,6.090000,0.900000,63.290001,-4.190000,0.280000,287.989990,87.570000,74355.929688,26.84,102.5,49.650002,PM10,4692
34.750000,50.680000,10.710000,5.480000,0.830000,65.970001,-2.470000,-1.220000,288.559998,87.139999,75635.593750,26.84,102.65,50.340000,PM10,4693
32.599998,51.740002,12.270000,6.640000,0.840000,70.150002,-0.100000,-1.970000,293.750000,71.110001,82590.367188,26.84,102.8,50.870003,PM10,4694
28.820000,41.419998,12.370000,5.060000,0.900000,63.230000,-2.670000,-0.410000,291.679993,79.000000,79340.117188,26.94,101.28,41.419998,PM10,4822
28.469999,41.459999,13.030000,6.030000,0.920000,62.590000,-2.310000,-1.490000,295.100006,66.349998,82952.218750,26.95,101.43,41.459999,PM10,4823
30.440001,44.810001,14.400000,7.900000,0.980000,62.299999,-2.190000,-2.160000,294.190002,69.519997,81880.828125,26.95,101.58,44.810001,PM10,4824
32.430000,48.299999,14.010000,6.760000,1.050000,59.020000,-1.800000,-2.210000,292.420013,76.820000,80077.718750,26.96,101.73,48.299999,PM10,4825
32.580002,48.709999,13.560000,6.310000,1.070000,58.180000,-1.560000,-1.860000,292.489990,78.080002,80215.460938,26.96,101.88,48.709999,PM10,4826
31.920000,48.840000,13.020000,6.990000,1.100000,58.500000,-1.030000,-1.750000,293.350006,74.769997,81186.593750,26.96,102.04,48.840000,PM10,4827
33.259998,49.970001,12.440000,6.650000,1.000000,59.599998,-0.780000,-0.680000,292.929993,74.900002,80597.296875,26.97,102.19,49.970001,PM10,4828
33.790001,49.320000,10.940000,5.900000,0.890000,60.209999,-3.210000,1.930000,290.029999,79.769997,76251.687500,26.97,102.34,49.320000,PM10,4829
35.730000,51.099998,10.060000,5.400000,0.830000,62.270000,-4.530000,1.470000,286.709991,90.839996,72756.703125,26.97,102.49,50.912498,PM2.5,4830
35.040001,52.060001,10.360000,5.600000,0.800000,63.939999,-2.290000,-0.170000,289.160004,84.930000,76551.593750,26.98,102.64,51.029999,PM10,4831
32.900002,52.540001,12.260000,7.130000,0.790000,69.660004,-0.610000,-0.620000,294.679993,69.199997,83849.203125,26.98,102.8,51.270000,PM10,4832
28.510000,39.970001,11.100000,3.830000,0.800000,64.180000,-3.630000,2.280000,288.299988,89.750000,75190.273438,27.08,101.27,40.728573,PM2.5,4960
27.780001,39.439999,11.100000,4.450000,0.820000,61.400002,-2.940000,0.430000,290.350006,80.320000,77130.320312,27.08,101.42,39.685715,PM2.5,4961
30.030001,42.930000,12.170000,5.550000,0.880000,60.849998,-1.810000,-0.780000,290.209991,81.970001,77134.906250,27.09,101.58,42.930000,PM10,4962
31.290001,45.869999,12.160000,5.860000,0.970000,57.200001,-1.230000,-2.100000,291.279999,80.080002,78900.703125,27.09,101.73,45.869999,PM10,4963
31.879999,47.389999,11.820000,6.110000,1.000000,55.570000,-1.610000,-2.080000,291.910004,79.169998,79782.609375,27.1,101.88,47.389999,PM10,4964
31.860001,48.480000,11.570000,6.400000,1.030000,56.000000,-1.510000,-1.910000,291.350006,80.650002,78703.289062,27.1,102.03,48.480000,PM10,4965
32.419998,48.689999,11.340000,5.850000,0.890000,59.689999,-0.640000,-1.630000,293.260010,74.519997,81321.726562,27.1,102.18,48.689999,PM10,4966
33.040001,48.709999,10.260000,5.570000,0.800000,60.240002,-2.790000,0.860000,291.510010,76.940002,78312.468750,27.11,102.34,48.709999,PM10,4967
35.779999,51.830002,9.740000,5.640000,0.780000,60.369999,-4.930000,2.050000,287.329987,89.610001,73646.531250,27.11,102.49,50.974998,PM2.5,4968
34.349998,51.799999,10.100000,6.160000,0.740000,63.340000,-3.020000,0.400000,289.709991,85.019997,77479.789062,27.11,102.64,50.900002,PM10,4969
33.290001,52.099998,11.110000,6.800000,0.730000,68.379997,-1.940000,-0.420000,292.440002,76.610001,80592.179688,27.12,102.79,51.049999,PM10,4970
28.000000,38.660000,10.160000,3.190000,0.740000,65.559998,-3.730000,4.650000,286.420013,92.220001,72140.750000,27.21,101.11,40.000000,PM2.5,5097
28.320000,39.709999,10.180000,3.740000,0.780000,62.790001,-3.960000,4.840000,287.019989,89.980003,72947.296875,27.21,101.27,40.457142,PM2.5,5098
30.400000,42.340000,10.300000,4.360000,0.810000,59.570000,-3.520000,4.210000,284.760010,98.080002,70395.796875,27.22,101.42,43.428570,PM2.5,5099
32.630001,45.779999,11.230000,5.470000,0.860000,58.290001,-2.180000,2.550000,285.019989,98.220001,70626.406250,27.22,101.57,46.614288,PM2.5,5100
30.930000,44.740002,11.120000,5.450000,0.900000,56.500000,-1.400000,-0.190000,289.109985,87.379997,76268.406250,27.23,101.72,44.740002,PM10,5101
