PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
0.710000,0.830000,0.130000,0.370000,0.120000,71.580002,4.480000,0.900000,266.690002,44.020000,60604.089844,32.31,96.86,3.000000,CO,13502
0.740000,0.860000,0.130000,0.330000,0.120000,73.849998,4.540000,1.070000,265.799988,46.490002,60100.750000,32.32,97.02,3.000000,CO,13503
0.740000,0.860000,0.130000,0.300000,0.120000,74.809998,5.520000,1.320000,264.250000,51.490002,58922.218750,32.33,97.18,3.000000,CO,13504
0.710000,0.820000,0.110000,0.270000,0.120000,75.500000,7.620000,1.560000,262.519989,57.009998,57458.968750,32.34,97.34,3.000000,CO,13505
0.340000,0.390000,0.030000,0.230000,0.110000,76.970001,9.510000,4.100000,262.820007,49.549999,57863.218750,32.33,95.24,2.750000,CO,13746
0.350000,0.400000,0.030000,0.230000,0.110000,77.120003,8.260000,3.990000,264.059998,46.160000,59032.328125,32.34,95.4,2.750000,CO,13747
0.390000,0.440000,0.040000,0.240000,0.110000,77.470001,7.640000,2.910000,263.500000,48.840000,58636.671875,32.35,95.56,2.750000,CO,13748
0.420000,0.490000,0.050000,0.250000,0.110000,78.029999,8.370000,2.840000,262.720001,51.130001,57725.109375,32.37,95.72,2.750000,CO,13749
0.440000,0.520000,0.060000,0.250000,0.110000,79.000000,9.250000,3.030000,263.750000,47.279999,58147.968750,32.38,95.88,2.750000,CO,13750
0.430000,0.510000,0.060000,0.250000,0.110000,77.370003,9.270000,3.030000,265.619995,41.520000,59362.898438,32.39,96.05,2.750000,CO,13751
0.450000,0.530000,0.070000,0.290000,0.110000,76.050003,8.470000,2.400000,267.119995,38.049999,60409.820312,32.4,96.21,2.750000,CO,13752
0.500000,0.580000,0.080000,0.390000,0.120000,73.930000,6.730000,0.920000,267.970001,38.130001,61206.300781,32.41,96.37,3.000000,CO,13753
0.530000,0.620000,0.090000,0.420000,0.120000,73.099998,5.310000,0.270000,267.339996,41.459999,60841.890625,32.42,96.53,3.000000,CO,13754
0.560000,0.650000,0.100000,0.380000,0.120000,72.650002,4.950000,0.350000,266.179993,44.630001,60060.019531,32.43,96.69,3.000000,CO,13755
0.590000,0.690000,0.100000,0.330000,0.120000,72.110001,5.120000,0.580000,265.119995,46.700001,59336.339844,32.44,96.85,3.000000,CO,13756
0.610000,0.710000,0.110000,0.300000,0.120000,73.500000,5.900000,1.090000,263.619995,50.040001,58103.820312,32.45,97.01,3.000000,CO,13757
0.620000,0.720000,0.110000,0.280000,0.120000,74.760002,7.530000,1.550000,261.989990,54.939999,56803.519531,32.46,97.17,3.000000,CO,13758
0.580000,0.680000,0.090000,0.250000,0.110000,76.309998,9.720000,2.480000,261.679993,54.110001,56367.460938,32.47,97.33,2.750000,CO,13759
0.710000,0.790000,0.120000,0.830000,0.120000,74.279999,9.350000,1.600000,264.119995,53.790001,60339.449219,32.63,100.56,3.000000,CO,13779
0.670000,0.740000,0.110000,0.780000,0.120000,74.169998,9.790000,0.100000,265.679993,47.470001,61673.390625,32.64,100.88,3.000000,CO,13781
0.310000,0.350000,0.020000,0.230000,0.110000,74.620003,7.750000,4.560000,258.119995,72.360001,54992.050781,32.44,94.91,2.750000,CO,14001
0.310000,0.350000,0.020000,0.210000,0.110000,75.510002,10.580000,4.240000,259.230011,63.810001,55363.949219,32.45,95.07,2.750000,CO,14002
0.300000,0.350000,0.020000,0.210000,0.110000,76.610001,10.390000,3.320000,262.549988,50.500000,57609.398438,32.46,95.23,2.750000,CO,14003
0.310000,0.360000,0.030000,0.210000,0.110000,76.389999,7.910000,2.350000,264.000000,47.770000,59116.308594,32.48,95.39,2.750000,CO,14004
0.350000,0.400000,0.040000,0.210000,0.110000,76.589996,7.170000,2.330000,263.279999,51.480000,58806.640625,32.49,95.55,2.750000,CO,14005
0.380000,0.440000,0.050000,0.220000,0.110000,77.040001,7.980000,2.690000,263.570007,51.169998,58943.710938,32.5,95.71,2.750000,CO,14006
0.390000,0.450000,0.050000,0.220000,0.110000,78.070000,8.720000,2.070000,264.299988,48.330002,59213.378906,32.51,95.87,2.750000,CO,14007
0.390000,0.460000,0.050000,0.220000,0.110000,77.230003,8.780000,1.520000,265.859985,43.200001,60145.820312,32.52,96.03,2.750000,CO,14008
0.410000,0.480000,0.060000,0.240000,0.110000,76.949997,7.700000,1.020000,267.690002,38.919998,61486.179688,32.54,96.19,2.750000,CO,14009
0.420000,0.490000,0.060000,0.300000,0.120000,74.570000,6.430000,0.750000,267.570007,39.840000,61382.699219,32.55,96.35,3.000000,CO,14010
0.440000,0.510000,0.070000,0.350000,0.120000,73.150002,5.740000,1.060000,266.190002,43.779999,60255.539062,32.56,96.51,3.000000,CO,14011
0.450000,0.520000,0.070000,0.350000,0.120000,72.239998,5.780000,1.260000,264.149994,49.130001,58556.910156,32.57,96.68,3.000000,CO,14012
0.450000,0.530000,0.070000,0.300000,0.110000,71.650002,6.820000,1.750000,262.369995,52.419998,57012.558594,32.58,96.84,2.750000,CO,14013
0.460000,0.540000,0.070000,0.270000,0.110000,73.529999,7.990000,2.700000,261.269989,53.150002,55963.601562,32.59,97.0,2.750000,CO,14014
0.450000,0.510000,0.070000,0.230000,0.110000,76.410004,9.320000,2.980000,260.760010,52.520000,55402.871094,32.6,97.16,2.750000,CO,14015
0.470000,0.540000,0.070000,0.250000,0.110000,76.480003,10.930000,2.990000,262.019989,47.830002,56304.210938,32.61,97.32,2.750000,CO,14016
0.480000,0.550000,0.070000,0.280000,0.110000,76.769997,10.280000,1.740000,265.500000,39.930000,59201.230469,32.62,97.48,2.750000,CO,14017
0.700000,0.780000,0.120000,0.650000,0.120000,73.709999,8.780000,3.430000,263.600006,55.070000,59980.589844,32.75,100.22,3.000000,CO,14034
0.680000,0.760000,0.110000,0.740000,0.120000,73.550003,8.570000,2.380000,263.880005,53.959999,60324.339844,32.76,100.39,3.000000,CO,14035
