PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
61.459999,118.290001,27.180000,18.170000,1.790000,39.380001,1.770000,-0.410000,267.690002,57.259998,77655.421875,36.24,105.59,84.145004,PM10,20431
59.439999,111.529999,28.889999,19.250000,1.700000,37.090000,3.460000,0.350000,268.730011,55.660000,78899.351562,36.24,105.76,80.764999,PM10,20432
57.459999,103.190002,29.549999,20.719999,1.570000,35.119999,3.420000,0.390000,270.320007,53.250000,81644.429688,36.24,105.93,78.074997,PM2.5,20433
56.930000,95.320000,34.330002,23.549999,1.550000,32.860001,2.990000,-0.680000,270.940002,51.250000,83295.593750,36.24,106.09,77.412498,PM2.5,20434
52.759998,86.089996,39.230000,26.010000,1.410000,32.320000,2.970000,-1.790000,270.429993,51.689999,82948.382812,36.24,106.26,72.199997,PM2.5,20435
49.060001,77.489998,39.970001,27.540001,1.340000,32.220001,3.540000,-2.120000,269.980011,51.869999,82172.476562,36.24,106.43,67.575005,PM2.5,20436
46.470001,71.010002,34.639999,26.540001,1.300000,32.880001,4.040000,-1.790000,270.269989,49.380001,82484.632812,36.23,106.6,64.337502,PM2.5,20437
56.290001,105.709999,18.610001,13.990000,1.750000,44.200001,0.520000,0.380000,268.209991,54.250000,78764.992188,36.38,105.42,77.854996,PM10,20676
57.540001,111.209999,25.030001,16.330000,1.750000,40.509998,2.820000,0.020000,268.070007,52.580002,77859.687500,36.38,105.59,80.604996,PM10,20677
56.950001,107.300003,28.160000,17.690001,1.700000,37.540001,4.030000,-0.450000,269.350006,50.910000,79611.007812,36.38,105.76,78.650002,PM10,20678
55.779999,99.500000,31.090000,19.480000,1.580000,35.160000,3.270000,-1.290000,270.649994,48.869999,82776.656250,36.38,105.93,75.974998,PM2.5,20679
55.020000,90.309998,39.720001,22.940001,1.540000,33.580002,2.380000,-1.780000,270.739990,48.500000,83944.351562,36.37,106.1,75.025002,PM2.5,20680
48.119999,76.709999,32.040001,22.299999,1.300000,35.169998,2.680000,-1.920000,269.790009,51.560001,82642.453125,36.37,106.26,66.400002,PM2.5,20681
43.880001,67.650002,29.750000,22.040001,1.220000,36.360001,4.090000,-1.970000,269.450012,51.639999,81602.679688,36.37,106.43,61.100002,PM2.5,20682
56.119999,106.260002,23.139999,14.200000,1.860000,43.750000,2.030000,1.030000,268.799988,51.130001,79821.296875,36.51,105.42,78.130005,PM10,20922
56.650002,110.970001,27.959999,15.630000,1.800000,40.889999,2.900000,0.390000,269.070007,49.570000,79607.109375,36.51,105.59,80.485001,PM10,20923
55.660000,105.919998,30.530001,16.240000,1.730000,38.400002,3.650000,-1.070000,269.609985,48.340000,80774.937500,36.51,105.76,77.959999,PM10,20924
53.080002,94.160004,33.340000,17.469999,1.560000,37.709999,3.330000,-2.210000,270.500000,44.570000,83083.656250,36.51,105.93,72.600006,PM2.5,20925
50.889999,81.620003,38.020000,20.330000,1.460000,36.450001,2.320000,-2.250000,270.459991,45.610001,84277.429688,36.51,106.1,69.862503,PM2.5,20926
43.880001,68.419998,29.840000,19.120001,1.200000,38.730000,2.340000,-1.390000,269.809998,49.049999,83223.289062,36.51,106.27,61.100002,PM2.5,20927
55.820000,102.959999,29.670000,15.170000,2.020000,45.380001,2.830000,0.140000,268.500000,48.810001,79754.023438,36.65,105.25,76.479996,PM10,21168
54.840000,103.669998,27.520000,14.180000,1.890000,43.900002,3.340000,0.930000,269.369995,48.509998,80966.953125,36.65,105.42,76.834999,PM10,21169
56.700001,111.870003,31.900000,15.180000,1.880000,40.700001,2.650000,0.350000,269.839996,48.220001,81867.593750,36.65,105.59,80.934998,PM10,21170
54.490002,103.489998,36.139999,15.460000,1.760000,39.779999,2.580000,-0.980000,270.140015,44.860001,82821.843750,36.65,105.76,76.744995,PM10,21171
49.820000,87.430000,38.270000,16.219999,1.510000,40.240002,2.470000,-2.400000,270.299988,42.840000,83917.312500,36.65,105.93,68.714996,PM10,21172
45.310001,70.839996,38.869999,18.150000,1.310000,39.770000,1.890000,-2.510000,270.109985,44.849998,84828.500000,36.65,106.1,62.887501,PM2.5,21173
40.130001,61.189999,29.120001,16.350000,1.070000,41.720001,2.000000,-1.290000,269.850006,47.410000,84094.960938,36.64,106.27,56.412502,PM2.5,21174
36.419998,53.380001,23.990000,15.100000,0.990000,43.750000,3.480000,-1.200000,269.250000,47.720001,82326.843750,36.64,106.44,51.774998,PM2.5,21175
54.750000,102.720001,31.299999,15.480000,1.920000,41.880001,3.820000,0.410000,269.899994,46.110001,82077.882812,36.79,105.42,76.360001,PM10,21416
55.320000,107.339996,36.680000,15.770000,1.880000,40.040001,2.630000,-0.070000,270.119995,46.599998,83361.226562,36.78,105.59,78.669998,PM10,21417
53.029999,98.959999,46.070000,16.559999,1.760000,39.630001,1.910000,-1.330000,270.209991,44.090000,84423.507812,36.78,105.76,74.479996,PM10,21418
45.480000,78.150002,49.439999,17.120001,1.410000,41.459999,1.480000,-2.510000,269.679993,44.500000,84833.601562,36.78,105.93,64.074997,PM10,21419
